Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Participation in Extracurricular Activities,Parent Education Level,Passed,Sesotho,English,Maths
S00036,3.9,60.9,67.7,Yes,Master,No,61.595781750144894,64.16590607352403,68.60656339447476
S00037,11.0,69.7,49.3,Yes,Master,Yes,50.34431797502378,47.965218464330725,44.067638092439545
S00038,0.2,51.2,69.1,No,Master,Yes,59.30164938060112,63.158543246523394,70.45456979349206
S00039,3.4,73.6,57.5,Yes,Master,Yes,50.859069755507846,57.14130221220244,54.987222325946355
S00040,11.0,84.2,48.4,No,Master,Yes,49.384306179345614,50.70233252240589,42.852757607072434
S00041,9.962744375740034,44.4,63.8,Yes,Master,Yes,67.49233289997704,56.140484336892165,63.409604392410216
S00042,10.9,62.3,77.3,Yes,Bachelor,Yes,78.15684140594985,74.12533754985265,81.40184380291437
S00043,9.4,125.8,59.9,Yes,Associate,No,59.3217585880588,72.60496066381512,58.1970708566547
S00044,8.5,81.6,94.1,Yes,,No,92.59448152205356,95.74618569432924,100.0
S00045,2.6,38.6,79.3,No,Doctorate,Yes,71.90739004816285,70.21129397909117,84.05453132161824
S00046,6.4,47.0,56.8,No,High School,No,53.200778958026454,49.79767067620106,54.06075527814973
S00047,7.7,79.5,56.3,No,Doctorate,No,53.99680614520106,57.4295212268643,53.40891269064443
S00048,15.3,77.0,97.2,Yes,High School,Yes,100.0,97.70333019287119,100.0
S00049,11.7,63.3,60.0,,Associate,No,61.718091447842305,57.0627859914956,58.318634705143644
S00050,1.2,118.9,70.5,No,Master,Yes,61.68479922318633,81.46657478443989,72.3211003576652
S00051,11.6,127.4,71.3,Yes,High School,Yes,72.92041984697397,84.39364410434327,73.40900017552208
S00052,8.1,69.7,39.1,No,Doctorate,No,37.174588597918415,37.77808320075138,30.480570336963087
S00053,6.6,92.5,39.3,Yes,Doctorate,Yes,35.915389998470204,43.66478432963369,30.745694917991827
S00054,13.1,93.5,65.44010682523813,No,,Yes,68.49848826944248,70.05593768184315,69.72167978646254
S00055,15.2,96.1,49.3,Yes,,,54.45499761247975,54.579365697387885,44.06318557604998
S00056,14.7,62.2,65.2,No,Bachelor,Yes,69.856400595581,61.99957339113048,65.25932527840187
S00057,5.8,113.8,42.3,Yes,Doctorate,Yes,38.10391238388681,51.997246086102685,34.74973206984902
S00058,8.5,73.6,60.1,Yes,,No,58.55393812074393,59.75701401882795,58.457705507678966
S00059,11.7,83.4,68.2,No,Master,Yes,69.85631715701783,70.30996040512557,69.2686903639325
S00060,14.9,75.0,34.1,No,High School,No,38.9777256356118,34.11021755114155,23.79934724137989
S00061,7.6,72.2,65.8,No,High School,Yes,63.40412881077355,65.1015691385062,66.07034270674926
S00062,9.1,80.6,66.6,No,Bachelor,No,65.67170511668091,67.9920222996893,67.1462022494555
S00063,4.5,51.3,58.0,Yes,Associate,Yes,52.468325129969855,52.070572131032414,55.65734387448323
S00064,4.0,35.6,48.5,Yes,Associate,Yes,42.51896687959665,38.64423490413175,42.99778939290147
S00065,14.1,70.7,59.4,Yes,High School,No,63.46262911197099,58.333097619931365,57.516973255249795
S00066,16.8,57.4,59.4,No,High School,Yes,66.18120014285411,54.99786181538365,57.52409689434474
S00067,9.6,86.0,93.9,No,Associate,No,93.53994939209834,96.6375183899332,100.0
S00068,15.0,83.7,63.2,Yes,,Yes,68.21766448946012,65.36895079355824,62.59583367939063
S00069,11.8,75.3,58.0,No,Doctorate,No,59.808180125238174,58.06740009848351,55.6783162564806
S00070,6.8,104.6,63.2,No,Associate,No,59.97440122697438,70.60787395277193,62.58577956006633
S00071,11.8,74.9,71.4,,Master,Yes,73.20697802754208,71.36886160568515,73.51840756095764
S00072,17.7,45.8,70.8,Yes,Bachelor,Yes,78.49018283232985,63.509245785270515,72.73405171066139
S00073,9.8,70.5,71.7,Yes,Master,No,71.52086980445024,70.58177879172793,73.9490922251177
S00074,17.8,98.4,74.0,No,Doctorate,Yes,81.82321827907003,79.85483883427504,77.01523389595175
S00075,-3.1,37.3,43.1,No,Master,Yes,30.001274479551277,33.678726635197286,35.798702617098456
S00076,14.1,73.1,72.7,No,Doctorate,Yes,76.80951252187612,72.22981836475012,75.28241668804164
S00077,10.4,86.5,67.8,No,Doctorate,Yes,68.23523534119086,70.67731017279478,68.72069888892526
S00078,8.5,128.0,55.7,Yes,Bachelor,Yes,54.20496324767066,68.96121167263892,52.58460599627965
S00079,10.5,99.2,66.6,No,High School,Yes,67.05880388267751,72.64128818463803,67.1321587135257
S00080,0.1,77.7,63.4,No,Associate,Yes,53.46215542699554,64.06308191682243,62.85030926683908
S00081,8.9,85.4,64.7,No,Doctorate,Yes,63.60164056081244,67.30379613173474,64.59594270813719
S00082,11.8,37.0,67.6,No,Master,Yes,69.38556285755872,58.11152319857537,68.47173594520815
S00083,17.4,75.27632340559882,39.8,No,Master,No,47.18947022370758,34.55138907047019,31.408600602026638
S00084,7.4,75.27632340559882,68.9,No,Bachelor,,66.30864890863177,72.15477835555316,70.21549854029112
S00085,6.0,78.2,74.8,No,Bachelor,Yes,70.75753198553406,75.60583698328159,78.05207290928732
S00086,7.5,80.8,68.7,No,Doctorate,Yes,66.19121478207732,70.14370593298696,69.91892540797464
S00087,14.6,75.7,54.1,Yes,Master,No,58.67701058851037,54.270573268386805,50.47457153554883
S00088,11.6,74.9,52.1,Yes,Master,No,53.743755548298424,52.07454551209243,47.78411481426457
S00089,7.4,77.1,67.7,Yes,Bachelor,Yes,65.0511989811648,68.214653242394,68.61099782485425
S00090,12.6,53.9,77.0,No,Doctorate,No,79.56633716556678,71.71982407867597,81.0153781115254
S00091,10.5,70.4,84.6,Yes,,No,85.0853877467402,83.45536513827533,91.14322860802285
S00092,14.8,75.27632340559882,76.5,Yes,High School,Yes,81.34322495266444,70.27947684285579,80.32404003014953
S00093,6.5,62.6,72.7,Yes,High School,Yes,69.18973453061324,69.6020177163088,75.25850353907029
S00094,8.4,98.9,26.9,No,Doctorate,Yes,25.261689267011157,32.879525046022664,14.187100113361707
S00095,8.0,71.4,65.44010682523813,No,Doctorate,No,63.479566059577344,64.53634527275031,62.37193441339535
S00096,2.7,86.9,65.44010682523813,No,Associate,No,58.12253208457754,68.41930420164218,67.00463180766276
S00097,11.5,77.3,54.8,No,Associate,Yes,56.280601385322875,55.37647277056275,51.399895142801206
S00098,11.3,67.3,100.0,Yes,Master,Yes,100.0,98.07554166553362,95.3492801698062
S00099,10.0,54.8,49.1,Yes,Associate,Yes,49.125567283212305,44.057156466957885,43.788084968099255
S00100,8.8,67.0,91.5,No,Associate,No,90.32706433312427,89.49972173795321,100.0
S00101,2.9,78.7,45.5,No,Master,,38.423146289747926,46.415892229902624,39.00014076823153
S00102,7.9,86.6,61.8,No,High School,No,59.696773386173206,64.7007672206213,60.73854856181511
S00103,9.962744375740034,77.4,54.1,Yes,Bachelor,Yes,52.38642741736616,54.71168432278643,50.46044620999303
S00104,6.0,88.0,52.0,No,High School,No,47.9886136538919,55.247401589728554,47.681017504883165
S00105,9.2,44.6,71.2,Yes,Doctorate,Yes,70.39357144166996,63.59914948720147,73.25716555684895
S00106,12.0,92.3,77.3,Yes,Doctorate,Yes,79.32025428407269,81.6333127879175,81.41489345042805
S00107,19.4,52.4,47.3,Yes,Associate,Yes,56.73092950605265,41.65871829649023,41.41550107283796
S00108,10.9,94.7,65.8,Yes,Master,Yes,66.6728890641592,70.7175230857901,66.06256654252847
S00109,11.3,75.27632340559882,63.3,No,Associate,Yes,64.58775195361382,65.81202921706421,62.73204475908279
S00110,9.6,37.6,58.2,Yes,Master,Yes,57.82777042116917,48.84905218927517,55.93909898813256
S00111,9.962744375740034,89.7,51.0,Yes,High School,No,41.40614392350479,54.68481412092465,46.331494125742694
S00112,9.9,94.9,81.6,Yes,Bachelor,No,81.46743062275391,86.57548669916456,87.14295387694978
S00113,10.3,100.2,49.5,No,High School,Yes,49.80115104970513,55.78939230172953,44.329992613726354
S00114,22.3,59.6,45.5,Yes,Associate,No,57.816210562426434,41.65700857946989,38.985778621044815
S00115,9.0,78.6,81.5,Yes,Associate,Yes,80.53819517609439,82.39705421035264,86.99381551141853
S00116,11.5,88.9,68.0,No,High School,Yes,69.50773671166806,71.47224691524355,68.99972395485595
S00117,9.8,89.7,47.3,Yes,Associate,,47.12644115147378,50.98163433706039,41.39463496448473
S00118,4.2,83.2,63.8,No,Doctorate,Yes,57.95660981190234,65.84760380931485,63.41441016930459
S00119,15.7,66.5,55.6,,Bachelor,Yes,61.3141140725751,53.46681878271689,52.47966398744006
S00120,13.8,94.8,87.3,Yes,Doctorate,Yes,91.05966516343386,92.23971877054574,94.74416540023972
S00121,14.0,94.9,61.4,No,,Yes,65.35515973521524,66.36909983407259,60.19231393982615
S00122,5.5,71.9,73.0,No,High School,Yes,68.4530627260263,72.22860846951698,75.65804118816703
S00123,17.0,59.3,64.7,Yes,Doctorate,No,71.7139715546805,60.782225979794696,64.58477940313558
S00124,3.0,75.27632340559882,86.6,No,Doctorate,No,79.59074468603859,82.96048330400927,93.78486087795072
S00125,12.9,102.3,68.1,No,Bachelor,Yes,71.03428546900135,74.92408857666105,69.11693918399577
S00126,21.0,94.0,82.4,Yes,Bachelor,No,93.35227812904989,87.15339192459214,88.18776684483299
S00127,9.962744375740034,74.6,73.1,No,Associate,No,68.14731837434655,72.99980108639984,75.80708593959667
S00128,7.2,71.0,56.7,No,Doctorate,Yes,53.86851135198614,55.70413396239502,53.93444616432406
S00129,10.5,39.6,65.0,Yes,Master,Yes,65.4982568254382,56.15906619572161,65.00930612749585
S00130,7.5,73.3,61.8,No,Master,Yes,59.282621729419,61.377994478109535,60.73591860396916
S00131,2.2,51.2,56.4,Yes,High School,No,48.646682844669336,50.44442422722913,53.53266105311724
S00132,10.3,78.2,48.8,No,Bachelor,No,49.14281487403014,49.594997382458786,43.41515201490666
S00133,4.7,98.7,85.4,No,Master,Yes,80.08848143136949,91.32623623380721,92.197808694593
S00134,12.4,55.4,34.1,No,Bachelor,No,36.46796215317591,29.197742235137795,23.794180778027318
S00135,5.4,79.8,85.0,No,High School,No,80.40287882883098,86.19293380194017,91.6575106303357
S00136,17.7,95.0,44.9,Yes,Doctorate,Yes,52.649672025087696,49.888898810049625,38.21182313270218
S00137,6.1,79.4,73.1,No,Associate,Yes,69.1837335383188,74.20147697636125,75.81578858012004
S00138,8.4,64.5,56.2,Yes,Bachelor,Yes,54.58969241897162,53.58008519074872,53.27217571547351
S00139,14.1,75.2,40.0,No,,Yes,44.06758608684835,40.05193202636057,31.6660893699608
S00140,3.8,94.1,82.2,No,Doctorate,Yes,76.04567841783023,86.98624356113939,87.92670874294639
S00141,11.1,80.3,29.0,Yes,Associate,Yes,30.137299673020646,30.31288929948721,17.003436116029945
S00142,16.5,74.9,76.9,No,Associate,No,83.43571377141214,76.8831470871983,80.88075010996762
S00143,2.0,98.1,66.9,,High School,Yes,58.862583827193866,72.68071563105813,67.54963244182217
S00144,10.9,85.3,80.8,No,Bachelor,Yes,81.72316929266152,83.37458934975211,86.05467800790393
S00145,11.3,50.9,74.4,Yes,High School,Yes,75.69941397124212,68.38548785525028,77.5317287146376
S00146,13.9,87.6,74.2,Yes,Doctorate,No,78.10911435888656,77.35706330990998,77.26464276158703
S00147,3.8,94.0,78.5,No,Doctorate,Yes,72.31524644560959,83.24779377391133,82.98953633077535
S00148,3.4,50.3,65.44010682523813,Yes,Associate,No,58.83782375981675,59.253524889800694,69.62796995972307
S00149,12.6,29.6,65.44010682523813,No,High School,No,68.04981465332261,54.09640934590502,67.69350301186766
S00150,11.5,54.2,60.0,No,High School,No,61.48492336616593,54.790336656108245,58.32698490771016
S00151,11.3,73.0,61.6,Yes,Master,Yes,62.85246425172939,61.08750156158193,60.45414118361334
S00152,11.7,95.2,66.6,No,Doctorate,Yes,68.33224104748487,71.64894172523967,67.13384745024995
S00153,6.6,57.2,61.0,No,Master,,57.59987639210755,56.54523982908436,59.66885663563492
S00154,11.2,86.1,97.8,No,Bachelor,Yes,98.96126848580502,100.0,100.0
S00155,11.5,17.2,63.7,Yes,Bachelor,No,65.16536236649341,49.238094326090945,63.26740667927649
S00156,6.4,78.6,47.8,No,Associate,No,44.22824290986816,48.7015336018004,42.05103386038969
S00157,19.3,66.9,63.2,Yes,Master,No,72.52887255572378,61.16629773057285,62.5970992198302
S00158,12.4,117.0,52.4,No,Master,No,54.76916460455894,62.89299390819699,48.207661799237854
S00159,4.0,37.2,94.4,Yes,Bachelor,Yes,88.44348251398677,84.93956856383673,100.0
S00160,9.962744375740034,75.27632340559882,66.5,,Doctorate,Yes,69.78276804316914,66.42749258597885,66.98889322671734
S00161,5.1,37.0,74.5,No,Bachelor,No,69.6265916488634,65.00889324187794,77.67400419433447
S00162,13.9,64.0,72.7,No,Master,Yes,76.63542301871226,69.95146133418775,75.27594730748845
S00163,15.8,41.0,79.2,No,Doctorate,Yes,84.99297789503703,70.69422517198021,83.9284529545123
S00164,5.9,121.0,68.6,Yes,Doctorate,No,64.49658840824144,80.10394370045412,69.79221973627877
S00165,14.8,67.9,59.0,Yes,Associate,,63.816880646221605,57.22226065969506,57.00619314786783
S00166,12.1,70.8,65.7,No,High School,No,67.76390463468249,64.64485253344992,65.93623809129133
S00167,14.1,74.1,46.6,No,Master,No,50.71030079997245,46.386331374473485,40.467192784087004
S00168,19.5,52.4,65.44010682523813,Yes,Doctorate,,74.92407173850788,59.77872286130021,64.69126588426121
S00169,8.8,96.1,91.9,No,Bachelor,No,90.67305941998565,97.17619366830388,100.0
S00170,6.2,87.8,76.0,No,Doctorate,No,72.23131917821256,79.20097072743171,79.67604133177598
S00171,5.6,93.4,63.4,No,Bachelor,No,58.952427851872386,67.9896918133589,62.868557952479875
S00172,5.9,50.6,65.44010682523813,Yes,Master,Yes,61.36105540041094,59.35029741505668,75.49860091289757
S00173,9.6,97.7,55.9,No,High School,No,55.51449145292948,61.576576076220256,52.85282760603046
S00174,11.7,95.4,70.1,No,Master,Yes,71.80575987408321,75.19920639663154,71.8137645270143
S00175,11.4,70.4,60.5,Yes,Bachelor,No,61.8834539966501,59.338034825045916,58.985181879748346
S00176,14.1,92.9,61.9,No,Doctorate,No,66.03591624518012,66.37510537771782,60.876881514090485
S00177,10.1,80.5,70.9,Yes,Associate,Yes,70.96500945938953,72.26335811647144,72.86977956325033
S00178,17.3,43.1,73.6,No,Doctorate,Yes,80.86767038578658,65.63000233929512,76.48013053310083
S00179,8.7,71.3,62.0,Yes,Bachelor,Yes,60.67671583381022,61.0859704904398,60.98635605560089
S00180,9.962744375740034,65.4,52.5,Yes,Bachelor,Yes,66.1008458329481,50.092449811101766,48.31954765720138
S00181,13.1,76.7,92.5,Yes,,Yes,95.62833673882503,92.92709644023947,100.0
S00182,5.7,95.4,66.5,No,Associate,Yes,62.214212217918586,71.60563143866653,67.0072741449968
S00183,4.6,75.27632340559882,49.4,No,,No,44.04553750969444,41.19329332234727,44.214863856538415
S00184,12.4,66.1,49.7,Yes,Associate,No,52.11236207621593,47.482110459797816,44.588620256076794
S00185,8.9,58.6,94.9,No,Associate,No,93.78268607337075,90.79081283519331,100.0
S00186,13.6,59.4,100.0,Yes,High School,No,100.0,96.10554347344646,100.0
S00187,12.4,58.5,70.0,,Master,No,72.36618812286773,65.88445475583217,71.68318676389366
S00188,9.6,76.4,55.8,No,Doctorate,Yes,55.435855436715634,56.14085177740218,52.7305243267829
S00189,5.8,85.5,65.44010682523813,Yes,Associate,Yes,61.20613823489611,68.05598408942483,67.10301705431421
S00190,2.4,82.0,60.4,Yes,Associate,Yes,52.825763876570676,62.14162479444762,58.871858475692385
S00191,7.8,78.7,73.6,No,Master,,71.36742523966488,74.52834103779577,76.46802563586836
S00192,14.3,87.4,70.3,No,Doctorate,,74.58199397161736,73.40872243912821,72.05044245317158
S00193,11.1,122.6,64.5,No,Doctorate,Yes,65.57046872065102,76.40163066755194,64.33776094116513
S00194,3.8,77.7,63.7,Yes,Bachelor,Yes,57.47130610644006,64.37945707156943,63.27807042967899
S00195,10.9,95.4,61.7,No,Associate,No,62.56590462925591,66.80569201406637,60.59948135056682
S00196,11.9,94.3,79.2,No,High School,No,81.12658689864419,84.02091717285595,83.94272523713025
S00197,5.6,110.6,62.1,Yes,High School,No,57.68071281899434,70.98897081515308,61.13606928014448
S00198,10.8,86.2,95.8,No,Master,Yes,96.56862552972764,98.60259432475036,100.0
S00199,10.3,58.1,97.2,No,High School,Yes,97.49104359223,92.97841909513033,100.0
S00200,9.962744375740034,81.1,59.3,No,Bachelor,No,53.58514851084688,60.82440960510939,57.40867370279755
S00201,11.8,80.0,59.6,No,Associate,Yes,61.388936801741416,60.85569371708774,57.79654173220186
S00202,12.8,91.3,64.3,Yes,Bachelor,Yes,67.10392263184117,68.37591304393888,64.05459581082738
S00203,15.4,57.5,55.4,Yes,Associate,Yes,60.81525621587638,51.033016652502894,52.191361701236865
S00204,15.3,100.3,77.8,Yes,High School,Yes,83.06901026017451,84.1316053697981,82.05627321915246
S00205,3.1,75.1,82.8,No,Master,Yes,75.91165316021454,82.8261857457006,88.72232881153302
S00206,5.3,91.8,84.3,Yes,Associate,Yes,79.61087480042438,88.49689626965866,90.7177886568887
S00207,12.6,81.2,61.9,No,Bachelor,No,64.47517633604329,63.448365790368165,60.85966407577258
S00208,12.6,77.5,61.7,No,Associate,Yes,64.26892975456104,62.31295389160002,60.59755772308733
S00209,12.6,79.7,35.1,No,Bachelor,Yes,37.67523843153024,36.26928205241885,25.144458590316614
S00210,29.3,75.27632340559882,55.1,Yes,Bachelor,Yes,74.3636574532736,58.45996005690612,51.81562130519369
S00211,12.9,114.2,51.0,No,Doctorate,No,53.85445255346583,60.79327397035709,46.34034430959899
S00212,15.7,34.7,48.4,No,Master,No,54.07782820090299,38.31311307585523,42.863895678791266
S00213,14.8,85.8,57.7,Yes,,,62.47000881746602,60.40001474462028,55.26531020812323
S00214,13.3,75.9,60.4,No,High School,No,63.656956256528986,60.619838980003735,58.864121344991545
S00215,8.4,71.5,64.6,Yes,Associate,No,63.02365377679827,63.71446716397697,64.47644522982806
S00216,13.8,27.7,85.4,No,Bachelor,Yes,89.19484610246634,73.58360888436233,92.19793218015847
S00217,6.1,86.6,82.5,Yes,,No,78.63587392731215,85.40103840627509,88.32751280504344
S00218,8.8,75.27632340559882,48.1,Yes,Doctorate,,46.91590696629996,47.47514681559343,42.47575303688675
S00219,7.6,58.3,71.4,No,Associate,No,68.97318226085449,67.22785766161815,73.54032114486792
S00220,10.4,75.8,53.0,Yes,Associate,No,53.40937069693161,53.21239986358743,49.001229041151106
S00221,21.6,69.1,67.2,Yes,Bachelor,Yes,78.77329283336755,65.73604884467561,67.93956709411745
S00222,0.7,40.2,65.44010682523813,No,High School,Yes,56.10378086227939,56.72814099014734,71.9950103126206
S00223,13.4,76.8,57.7,Yes,Bachelor,Yes,61.13130095187257,58.14092359579063,55.268385618454325
S00224,1.9,86.6,50.2,Yes,Bachelor,Yes,42.136420644051746,53.100367648500075,45.26318845077762
S00225,7.6,64.0,65.8,Yes,Associate,Yes,63.44034067105283,63.053832926596364,66.05741012380999
S00226,15.4,80.2,84.8,No,Doctorate,Yes,90.24475298483682,86.10856416342561,91.40114248594132
S00227,10.3,77.2,95.1,,Master,Yes,95.42140009547731,95.64055987280081,100.0
S00228,4.6,95.9,55.8,No,Associate,No,50.41127611035347,61.02746111285387,52.71961125522227
S00229,6.4,72.9,67.0,Yes,Master,Yes,63.42348145370016,66.48153803165663,67.6579068557183
S00230,9.962744375740034,91.0,69.1,Yes,High School,Yes,72.49798874467338,73.10545919580115,70.47704152370471
S00231,9.962744375740034,68.7,43.7,No,Master,No,40.04816684141432,42.133236220905715,36.593084914335606
S00232,11.1,114.3,42.9,Yes,High School,No,43.982292947909876,52.73660980747594,35.519471371411186
S00233,10.2,66.3,69.9,Yes,High School,No,70.12785919951908,67.71579200680057,71.52248310045708
S00234,6.7,61.3,59.4,Yes,Associate,No,56.14199826197091,55.97500437833849,57.521497654793954
S00235,20.7,73.0,44.0,Yes,Doctorate,No,54.719720446626624,43.49753940278031,36.99319714162665
S00236,13.2,60.4,65.44010682523813,Yes,High School,Yes,68.60970193682819,61.80001229768527,68.8749929812175
S00237,-0.1,50.0,65.9,No,Bachelor,No,55.77428706671197,59.65671783053083,66.20536987978184
S00238,10.9,89.6,65.2,Yes,Master,No,66.13227157384713,68.83801177128937,65.257594755169
S00239,6.7,13.7,48.6,,Master,No,45.291067676158065,33.28675643157651,43.12359882278413
S00240,14.3,60.6,39.4,Yes,High School,No,43.66216667398112,35.812333220003026,30.868115359726037
S00241,6.0,48.2,56.0,No,,No,52.037396307836495,49.29118042724124,53.01002859520714
S00242,9.4,77.8,65.7,Yes,Bachelor,No,65.1263177926655,66.41084700096931,65.94355140457264
S00243,12.5,31.2,54.4,No,Associate,No,56.92493639490228,43.45442165134399,50.8562482554603
S00244,14.3,86.0,48.5,No,Doctorate,Yes,52.82877597085061,51.239254224724604,43.01437399850459
S00245,4.0,75.27632340559882,59.4,Yes,Bachelor,Yes,53.398517964721115,62.68044963413761,57.539791237362984
S00246,8.3,42.3,65.5,No,Associate,Yes,63.827493820795254,57.33690977382463,65.67530899957707
S00247,7.6,78.8,86.2,,Doctorate,No,83.82527344419522,87.1530135141646,93.27352920257582
S00248,6.7,85.3,67.3,No,Doctorate,Yes,64.03335383713144,69.88029641910097,68.05112315586409
S00249,18.8,93.8,43.0,No,Bachelor,Yes,51.82727120140548,47.70150187208094,35.66457602644891
S00250,12.0,45.6,34.7,No,Master,No,36.72490855480478,27.355353316917693,24.58903397451211
S00251,3.7,42.8,28.2,No,Master,Yes,21.895580228324775,20.152026787483777,15.932261257298407
S00252,14.6,105.1,70.1,No,High School,Yes,74.68930973527388,77.61324610835045,71.79904693299267
S00253,20.6,58.6,49.2,Yes,Associate,No,59.81078098506317,45.09055147340191,43.93834525021015
S00254,15.2,64.5,72.5,No,Master,No,77.66232630275573,69.86297912495723,74.98931254820353
S00255,2.4,75.27632340559882,65.44010682523813,Yes,Associate,Yes,57.84325699546807,68.60557944400252,71.34020176609293
S00256,7.6,51.6,73.9,Yes,High School,No,71.47882963566875,68.05399488365259,76.85191233727593
S00257,16.3,69.7,61.6,No,Bachelor,No,67.93455574593311,60.27075293456937,60.46453485377447
S00258,6.5,92.8,92.7,Yes,Bachelor,Yes,89.1616526719061,97.15872146376529,100.0
S00259,12.2,46.6,58.1,No,Master,No,60.319097140731145,50.9944889132874,55.79535585970263
S00260,13.9,65.0,51.5,Yes,Master,No,55.37317026714668,48.999978353022456,46.984270867985416
S00261,5.4,52.5,70.0,Yes,Doctorate,Yes,65.36534764210958,64.36638190005452,71.66828524299191
S00262,9.7,59.5,76.6,No,Master,Yes,76.30237321969099,72.73032290554131,80.46719203442646
S00263,-6.2,98.7,26.2,Yes,High School,Yes,9.993663299654635,32.12824290065336,13.273357280978555
S00264,4.9,103.1,81.7,Yes,High School,No,76.57806179332856,88.72531816983035,87.25290547075552
S00265,8.7,80.2,40.6,No,Bachelor,Yes,39.3371592430342,41.889170647127315,32.475526958814186
S00266,3.8,85.6,34.2,Yes,Master,Yes,27.961084090175756,36.86104842313736,23.939455119430793
S00267,18.2,85.1,59.8,No,Associate,No,67.96205651965818,62.324274506170454,58.079218110612075
S00268,2.8,61.6,49.1,,Doctorate,Yes,41.94929311019684,45.73832011955411,43.78654097221925
S00269,7.8,79.8,71.2,Yes,Associate,No,68.99977756651508,72.39075252091754,73.27868995374685
S00270,10.7,49.1,70.3,Yes,Bachelor,Yes,70.95370288643045,63.82345804929703,72.08154108013423
S00271,17.2,55.8,69.6,Yes,Bachelor,No,76.80636644533057,64.8071525504269,71.14247760648558
S00272,2.8,73.3,83.4,Yes,Master,Yes,76.22068924410281,82.96599226794615,89.52162332046595
S00273,15.8,53.8,60.3,,Associate,No,66.1158187607748,54.995145031763194,58.722514444032235
S00274,10.1,49.5,70.5,Yes,High School,,70.55116530509794,64.13636458415401,72.33677251952491
S00275,9.962744375740034,60.8,40.0,Yes,Master,Yes,35.09245674476024,36.44051086271526,31.65326743170495
